Date,Open,High,Low,Close,Adj Close,Volume
5/1/2015,32.125237,32.457306,32.125237,32.333965,24.998024,22706744
5/4/2015,32.362431,32.741936,32.305504,32.561668,25.174067,24864282
5/5/2015,32.609108,32.666035,32.267551,32.371918,25.027367,23590839
5/6/2015,32.020874,32.163189,31.508539,31.745731,24.746326,28309913
5/7/2015,31.726755,32.020874,31.622391,31.859583,24.835077,22669959
5/8/2015,32.077801,32.400379,32.06831,32.277039,25.160486,21514037
5/11/2015,32.343452,32.504745,32.201138,32.220116,25.116119,27898853
5/12/2015,32.077801,32.220116,31.992411,32.049335,24.982986,18855955
5/13/2015,32.039848,32.06831,31.764706,31.812143,24.798096,25045675
5/14/2015,31.982922,32.248577,31.935484,32.201138,25.101326,18860803
5/15/2015,32.258064,32.314991,32.182163,32.248577,25.138304,17798687
5/18/2015,32.23909,32.314991,32.163189,32.23909,25.130905,25948637
5/19/2015,32.134724,32.628082,32.106262,32.457306,25.301012,21980854
5/20/2015,32.542694,32.722961,32.514233,32.542694,25.367571,16144013
5/21/2015,32.47628,32.722961,32.457306,32.599621,25.411947,19090259
5/22/2015,32.561668,32.722961,32.47628,32.52372,25.352779,13674069
5/26/2015,32.428844,32.580647,32.28653,32.362431,25.227055,19882234
5/27/2015,32.457306,32.703983,32.324478,32.542694,25.367571,23231636
5/28/2015,32.694496,32.76091,32.514233,32.675522,25.471115,16671329
5/29/2015,32.71347,33.197342,32.64706,32.969639,25.700384,52787798
6/1/2015,32.988613,33.130932,32.76091,32.789375,25.55986,29039386
6/2/2015,32.865276,32.884251,32.590134,32.722961,25.508095,19674175
6/3/2015,32.779884,32.884251,32.52372,32.64706,25.448925,18130065
6/4/2015,32.447819,32.789375,32.362431,32.485767,25.323195,21774691
6/5/2015,32.438332,32.52372,32.19165,32.343452,25.212259,24313461
6/8/2015,32.229603,32.409866,32.182163,32.23909,25.130905,18624496
6/9/2015,32.305504,32.381405,32.153702,32.267551,25.153091,24464499
6/10/2015,32.333965,32.666035,32.305504,32.552181,25.374968,24952396
6/11/2015,32.561668,32.798862,32.504745,32.694496,25.485905,21243897
6/12/2015,32.542694,32.694496,32.35294,32.457306,25.301012,22856517
6/15/2015,32.314991,32.371918,32.125237,32.296017,25.175282,22064014
6/16/2015,32.314991,32.35294,32.077801,32.296017,25.175282,21785021
6/17/2015,32.305504,32.428844,32.115749,32.23909,25.130905,22127149
6/18/2015,32.333965,32.741936,32.305504,32.609108,25.419344,25834383
6/19/2015,32.47628,32.741936,32.428844,32.428844,25.27882,30438466
6/22/2015,32.580647,32.732449,32.52372,32.552181,25.374968,14799214
6/23/2015,32.64706,32.817837,32.580647,32.732449,25.51549,19448830
6/24/2015,32.580647,32.751423,32.47628,32.47628,25.3158,24326742
6/25/2015,32.457306,32.580647,32.182163,32.277039,25.160486,24268666
6/26/2015,32.419353,32.533207,32.134724,32.182163,25.086531,37596496
6/29/2015,32.0019,32.371918,31.812143,31.86907,24.84247,30396833
6/30/2015,32.058823,32.058823,31.622391,31.812143,24.798096,36909710
7/1/2015,31.840607,32.125237,31.698292,31.963947,24.91643,29742299
7/2/2015,32.011387,32.675522,31.641365,31.660341,24.679762,23849069
7/6/2015,31.593927,31.91651,31.385199,31.54649,24.591011,22125990
